customer,Age,Education,Employ,Address,Income,Leverage,Creddebt,OthDebt,MonthlyLoad,Default
61475,24,SupCom,0,4,18,2.9,0.18,0.34,0.19,0
61481,18,Med,0,0,25,2.9,0.56,0.16,0.14,0
61510,30,SupCom,5,6,95,7,3.46,3.19,0.14,0
61513,36,Bas,4,8,45,13.2,0.33,5.61,0.43,0
61536,34,Bas,14,9,39,11.4,2.71,1.73,0.41,0
61605,63,SupInc,8,25,92,5.6,0.89,4.27,0.12,0
61632,56,Posg,16,19,232,2.8,2.1,4.39,0.04,0
61637,41,Med,9,8,68,28.3,4.52,14.72,0.7,1
61638,23,SupCom,0,1,53,3,0.63,0.96,0.09,1
61685,25,Posg,0,3,32,14.6,1.45,3.22,0.6,1
61722,22,Bas,1,1,22,3.2,0.16,0.55,0.18,0
61760,58,Med,19,9,114,6.4,0.28,7.02,0.12,0
61791,31,SupInc,7,5,53,2.7,0.73,0.7,0.08,0
61800,47,Med,6,10,40,8.7,1.31,2.17,0.3,1
61802,55,Med,13,11,63,17.5,2.56,8.47,0.45,0
61844,39,Med,9,5,60,9.2,2.08,3.44,0.25,0
61875,27,Posg,0,4,30,4.3,0.42,0.87,0.19,0
61881,30,SupInc,7,4,60,21.6,5.57,7.39,0.58,1
61920,35,Med,6,5,32,7.6,0.82,1.61,0.31,0
61946,30,SupCom,4,7,30,9.2,0.89,1.87,0.4,0
61952,19,Med,0,0,23,8.8,1.11,0.92,0.47,0
61972,38,SupCom,14,4,98,16.5,1.34,14.83,0.33,0
61980,20,Med,1,0,19,8,0.78,0.74,0.5,0
62038,43,Med,14,8,61,10.8,2.17,4.41,0.28,0
62060,25,Med,2,3,25,9.9,1.4,1.08,0.5,0
62074,41,Bas,11,5,36,10.2,1.37,2.31,0.39,1
62109,37,SupInc,3,4,36,6.7,0.68,1.73,0.25,0
62155,22,Bas,0,2,17,3.7,0.14,0.49,0.25,1
62168,23,Med,0,3,27,17.6,2.13,2.62,0.83,1
62184,45,SupCom,1,8,60,9.9,1.14,4.8,0.26,1
62219,19,Bas,1,0,20,8.8,0.55,1.21,0.53,0
62223,26,Med,6,3,23,13.6,0.13,3,0.73,0
62229,25,SupCom,0,2,21,22.3,1.68,3.01,1.29,1
62238,49,SupCom,1,8,51,11.2,1.86,3.85,0.33,0
62301,76,Bas,15,20,26,5.6,0.14,1.32,0.27,0
62380,28,SupInc,1,3,16,5.2,0.5,0.33,0.38,0
62399,37,Bas,18,8,36,4.8,0.44,1.29,0.18,0
62406,41,Bas,9,8,29,5.6,0.25,1.38,0.25,0
62428,30,Med,8,4,68,2.4,0.27,1.36,0.06,0
62534,39,SupInc,4,9,78,14,7.21,3.71,0.32,1
62545,25,SupInc,2,2,19,3.4,0.19,0.46,0.21,0
62573,26,Posg,0,4,19,7.7,0.67,0.79,0.48,0
62602,24,Bas,8,2,28,6.6,0.26,1.59,0.3,0
62610,61,Bas,0,10,42,18.4,4.01,3.72,0.62,0
62637,26,Med,6,2,38,10.6,2.57,1.46,0.39,0
62645,18,Med,0,0,44,9.2,1.25,2.8,0.3,0
62691,41,Med,21,8,189,6.3,6.22,5.69,0.1,0
62693,49,SupInc,9,16,64,6.1,0.33,3.57,0.16,0
62744,18,Bas,0,0,20,3.9,0.37,0.41,0.23,0
62750,18,Med,0,0,24,6.5,0.3,1.26,0.34,0
62792,52,SupCom,2,12,96,7.1,2.28,4.54,0.15,1
62812,32,Med,2,6,30,9.4,1.18,1.64,0.41,0
62835,27,Med,6,5,42,9.1,2.19,1.64,0.31,1
62837,23,SupInc,0,2,57,17.8,2.73,7.42,0.49,1
62863,29,SupCom,3,3,46,8.1,0.29,3.44,0.26,0
62867,73,Med,53,25,410,4.1,3.11,13.7,0.05,0
62923,31,SupCom,3,5,22,4.6,0.23,0.79,0.26,0
62975,19,Med,0,0,28,9.1,0.87,1.68,0.42,1
63023,57,Med,4,9,39,4.3,0.56,1.12,0.15,0
63041,18,Med,0,0,19,1.5,0.06,0.22,0.09,0
63054,22,Bas,1,1,19,8.9,0.49,1.2,0.56,0
63055,21,Med,0,1,30,4.3,0.18,1.11,0.19,0
63071,33,SupInc,4,4,60,9.5,1.61,4.09,0.25,0
70016,21,SupInc,0,1,41,23.4,1.97,7.63,0.8,1
70065,42,SupInc,18,15,63,11.3,2.54,4.58,0.29,0
70093,32,SupInc,10,5,38,11.5,1.05,3.32,0.42,0
70178,33,SupCom,5,4,105,13.4,7.05,7.02,0.26,1
70186,73,Bas,50,34,289,8.4,7.84,16.43,0.11,0
70221,61,SupCom,23,20,81,8.9,1.7,5.51,0.2,0
70248,38,Posg,2,8,229,6.7,3.94,11.4,0.1,0
70269,46,SupInc,13,11,45,22.2,3.33,6.66,0.72,1
70325,20,SupInc,0,0,20,7.2,0.34,1.1,0.43,1
70403,19,Med,0,0,24,15.6,0.75,3,0.81,1
70412,28,SupCom,0,4,47,18.6,6.71,2.04,0.58,1
70430,24,SupCom,0,2,21,6.6,0.58,0.81,0.38,1
70522,53,Bas,1,12,30,8.8,0.41,2.23,0.38,0
70525,35,Med,14,7,62,8.2,0.6,4.48,0.21,0
70548,43,Med,7,11,53,3.7,0.85,1.11,0.11,0
70553,32,Bas,9,6,33,8.1,1.15,1.52,0.33,0
70558,27,Bas,9,1,28,5.7,0.11,1.49,0.26,0
70567,18,Med,0,0,22,1.5,0.13,0.2,0.08,0
70673,19,Med,0,0,31,28.7,5.36,3.53,1.21,1
70687,18,Med,0,0,36,6.2,1.05,1.18,0.23,1
70710,54,Med,20,15,82,20,4.35,12.05,0.44,0
70770,43,SupInc,0,4,31,2.4,0.28,0.46,0.1,0
70849,50,Med,15,14,65,12.6,3.05,5.14,0.32,0
70886,26,Bas,10,3,31,8.8,0.78,1.95,0.37,0
70888,35,Med,4,2,57,6,1.29,2.13,0.17,0
70907,47,Med,6,12,34,4.4,0.53,0.97,0.17,0
70938,31,Posg,2,5,19,15.9,0.94,2.08,1,0
71122,40,SupInc,7,11,53,12.4,1.48,5.09,0.36,0
71175,56,SupCom,14,25,206,27.9,15.29,42.19,0.41,1
71264,34,SupCom,3,8,72,7.6,0.38,5.09,0.18,0
71270,18,Med,0,0,18,12.7,0.65,1.64,0.83,1
71417,46,Med,24,10,78,6.9,2.74,2.64,0.16,0
71424,31,Med,2,6,45,3.1,0.43,0.96,0.1,0
71431,25,Med,1,1,16,2.1,0.15,0.19,0.15,0
71439,79,Bas,63,18,497,8.2,15.08,25.68,0.1,0
71522,43,SupInc,21,14,125,11.5,6.33,8.05,0.21,0
71585,26,Bas,9,3,41,22.1,0.62,8.44,0.76,0
71630,26,SupInc,1,4,36,12.5,1.59,2.91,0.47,0
71699,18,Bas,0,0,28,17,1.75,3.01,0.78,1
71730,30,Med,0,4,25,7.4,0.26,1.59,0.37,0
71732,47,SupInc,3,8,69,5.2,0.9,2.69,0.13,0
71758,18,Med,0,0,35,12.4,1.13,3.21,0.48,0
71761,30,Bas,13,3,38,4.6,0.34,1.41,0.17,0
71782,21,SupInc,0,1,25,6.7,1.29,0.38,0.33,1
71784,33,SupCom,4,9,119,15.3,6.57,11.63,0.28,1
71812,36,Med,3,6,28,4.9,0.26,1.12,0.22,0
71817,26,Med,7,3,49,17.7,5.38,3.3,0.54,1
71896,20,SupInc,0,0,21,1.3,0.18,,0.07,1
72021,56,Med,19,8,76,1.2,0.18,0.73,0.03,0
72023,42,SupCom,7,12,130,11.6,3.33,11.75,0.21,1
72147,23,SupCom,0,3,47,8.9,0.62,3.56,0.28,0
72213,32,SupInc,3,8,86,7.9,2.2,4.59,0.17,0
72221,20,SupInc,0,0,30,10.6,2.53,0.65,0.46,1
72302,19,Med,0,0,21,12,0.35,2.17,0.69,0
72307,26,Med,1,0,26,11.1,1.69,1.19,0.54,1
72327,19,Med,0,,,,,,0.01,1
72385,59,SupInc,31,21,102,0.3,0.1,0.2,0.01,0
72447,21,SupInc,0,1,13,8.3,0.45,0.63,0.72,1
72506,39,SupCom,14,6,152,27.4,13.41,28.24,0.45,1
72584,18,Med,0,0,12,3.3,0.11,0.29,0.31,1
72633,20,Med,0,0,38,7.5,0.36,2.49,0.27,0
72635,33,SupCom,1,6,23,4.2,0.19,0.77,0.22,1
72704,19,Bas,1,0,16,3.4,0.31,0.24,0.25,1
72756,29,SupInc,5,5,52,16.8,5.63,3.1,0.49,0
72803,70,SupInc,48,25,165,14.8,0.56,23.86,0.24,0
72806,44,Bas,22,8,93,9,4.38,3.99,0.19,0
72846,40,Med,20,10,117,11.9,4.94,8.98,0.22,0
72860,21,Med,1,1,23,7.4,0.26,1.44,0.4,1
72954,43,Med,8,11,48,9.7,1.32,3.34,0.3,0
73016,27,Med,3,4,28,4.2,0.54,0.64,0.19,0
73083,21,SupInc,0,1,21,10.4,1.54,0.65,0.6,0
73188,29,Med,3,5,45,14.1,1.68,4.66,0.45,1
73525,41,Med,2,10,40,7.9,0.31,2.85,0.28,0
73537,28,SupCom,5,3,30,7,0.46,1.64,0.3,0
73591,48,Med,5,10,43,6.9,2.26,0.7,0.23,1
73650,25,Posg,0,3,66,2.8,0.9,0.94,0.07,0
73703,41,Med,3,7,62,7,2.89,1.45,0.18,1
73741,22,Med,1,2,24,16.1,0.8,3.07,0.83,0
73764,47,SupInc,8,11,43,11.8,2.27,2.8,0.39,0
73864,18,Med,0,0,24,5.3,0.59,0.68,0.27,0
73907,28,Posg,0,4,50,8.6,0.28,4.02,0.26,0
73999,41,Med,5,8,37,5.8,0.35,1.8,0.21,0
74006,31,Med,2,7,42,10.3,0.86,3.47,0.35,1
74096,19,Med,0,0,21,14.3,1.22,1.78,0.82,0
74136,31,SupInc,1,7,28,2,0.17,0.39,0.09,0
74169,18,Med,0,0,21,21.8,1.44,3.14,1.26,1
74209,39,Med,5,5,39,4.2,0.72,0.92,0.15,0
74221,20,Med,0,0,17,7.3,0.57,0.67,0.5,1
74272,31,SupCom,8,4,29,6.8,1.12,0.85,0.3,0
74287,23,Bas,3,1,41,5.5,0.67,1.58,0.19,0
74372,25,SupInc,3,3,58,20.6,3.5,8.45,0.56,0
74378,29,SupCom,3,1,47,2.9,0.53,0.83,0.09,0
74394,38,SupInc,15,4,136,20.2,6.76,20.71,0.35,1
74471,39,Bas,8,9,41,0.1,0.03,,0,0
74498,28,SupCom,4,4,20,15.5,0.3,2.8,0.93,1
74528,40,SupInc,10,12,38,6.1,0.92,1.4,0.22,0
74547,46,SupInc,2,13,56,2.3,0.41,0.87,0.06,0
74589,61,Bas,45,22,209,10.9,4.12,18.66,0.16,0
74658,49,SupCom,18,13,182,4.8,0.94,7.79,0.07,0
74677,71,Med,35,19,131,11.6,6.03,9.16,0.2,0
95009,20,Bas,2,0,20,2.7,0.2,0.34,0.16,1
95034,20,SupInc,0,0,20,11.3,1.96,0.3,0.68,1
95050,18,Med,0,0,29,5.6,0.9,0.73,0.25,0
95066,32,Posg,3,6,59,9,1.85,3.46,0.24,0
95138,42,SupInc,2,13,22,13.6,1.46,1.53,0.75,1
95177,43,SupInc,9,9,57,4.5,1.81,0.76,0.12,0
95185,27,Bas,7,5,43,10,1.2,3.1,0.33,0
95204,23,Med,3,2,66,2.7,0.79,0.99,0.07,0
95209,21,Med,1,0,33,13.1,1.31,3.01,0.53,1
95220,49,SupInc,24,11,90,13.9,8.06,4.45,0.29,0
95299,49,Med,28,11,93,12.8,1.56,10.34,0.27,0
95372,19,Med,0,0,28,9.7,1.35,1.37,0.44,1
95384,24,SupCom,0,2,21,11,0.72,1.59,0.63,1
95388,23,SupCom,0,1,30,12.8,2.3,1.54,0.55,1
95450,43,SupInc,13,9,82,9.9,1.78,6.34,0.22,0
95481,28,Med,8,3,22,5.4,0.17,1.02,0.3,0
95530,26,SupCom,2,3,36,14.4,1.89,3.29,0.54,1
95541,40,SupCom,7,11,33,12.4,0.65,3.45,0.5,0
95582,47,Bas,22,17,108,8.9,1.37,8.24,0.17,0
95633,19,Med,0,0,22,16.8,1.64,2.06,0.93,1
95641,71,Bas,18,27,57,11.5,2.58,3.97,0.32,0
95723,72,SupCom,26,24,146,12.6,2.12,16.28,0.21,0
95739,45,Med,1,10,43,2.8,0.38,0.82,0.09,0
95833,20,SupInc,0,0,29,17,1.93,3,0.76,1
95858,42,Med,7,8,47,7.8,1.02,2.65,0.24,0
95859,33,SupCom,1,3,40,13.3,0.87,4.45,0.47,0
95998,42,Med,19,8,63,20.4,5.31,7.54,0.53,0
96001,20,SupInc,0,0,28,10.4,0.93,1.98,0.48,1
96007,20,SupInc,0,1,19,4.5,0.35,0.51,0.28,0
96037,20,SupInc,0,0,20,13.5,0.59,2.11,0.81,0
96088,34,SupInc,11,5,68,11.9,3.37,4.73,0.29,0
96098,39,Bas,12,11,47,9.5,1.03,3.43,0.3,0
96116,42,Bas,2,10,38,3.6,0.39,0.98,0.13,1
96167,61,Bas,7,22,35,10.4,0.7,2.94,0.4,0
96197,30,SupCom,2,6,61,2.9,0.64,1.13,0.08,1
96228,39,SupCom,12,9,82,6.2,1.79,3.29,0.14,0
96253,26,SupInc,5,2,25,10.8,1.13,1.57,0.54,0
96263,62,SupInc,12,10,108,7.3,1.38,6.5,0.14,0
96479,48,Med,17,8,81,30,11.64,12.66,0.67,1
96521,39,SupInc,17,9,165,3.3,2.55,2.89,0.05,0
96536,51,Bas,33,13,234,9.6,4.25,18.22,0.14,0
96611,31,SupInc,4,6,43,6.9,0.66,2.31,0.23,0
96627,45,SupInc,19,7,286,5,4.53,9.77,0.07,0
96714,44,SupCom,0,9,167,10.6,7.79,9.91,0.17,1
96732,28,Med,9,3,36,3.2,0.09,1.06,0.12,0
96945,36,SupInc,8,4,41,11.1,1.57,2.98,0.38,1
96961,38,Posg,4,5,66,10.7,2.4,4.66,0.27,1
97000,61,Med,22,6,108,22.2,6.04,17.93,0.43,0
97003,66,SupInc,6,20,61,7.7,1.2,3.49,0.2,1
97045,24,Med,5,3,31,10.4,0.7,2.52,0.44,0
97048,45,Bas,12,10,44,9.8,1.6,2.72,0.32,0
97147,47,Posg,8,13,33,15.4,1.71,3.37,0.62,0
97173,19,Med,0,0,25,3.9,0.68,0.29,0.19,1
97191,28,Med,2,5,26,23.6,0.74,5.4,1.14,1
97247,40,SupCom,3,10,35,10,1.09,2.42,0.39,1
97289,25,SupCom,1,1,27,14.2,0.46,3.38,0.67,0
97350,64,Bas,26,26,56,20.3,2.01,9.36,0.57,0
97355,40,SupInc,15,4,78,15.5,3.52,8.57,0.35,0
97357,37,Posg,1,10,90,1.8,0.25,1.37,0.04,0
97402,56,Med,35,14,236,3.9,6.68,2.52,0.06,0
97548,33,SupInc,8,4,102,28.8,7.93,21.44,0.57,1
97595,66,SupInc,30,22,104,6.7,2.29,4.68,0.13,0
97629,18,Med,0,0,28,9.9,1.05,1.72,0.45,0
97815,52,SupInc,28,23,108,3.9,2.21,2,0.08,0
97845,46,Bas,2,10,38,8.2,0.5,2.62,0.3,1
97911,51,Med,3,14,19,4.9,0.34,0.59,0.31,0
97992,34,Med,6,4,45,9.1,1.31,2.78,0.29,0
98023,19,Med,0,0,18,6.3,0.26,0.87,0.41,0
98041,52,Bas,33,12,80,9,1.06,6.14,0.2,0
98114,24,Bas,2,2,29,23.6,0.47,6.38,1.05,0
98144,35,SupCom,5,4,47,16.1,3.18,4.39,0.5,1
98195,29,SupCom,1,4,50,15.1,2.67,4.88,0.45,1
98277,47,Med,10,10,48,7,1.98,1.38,0.22,0
98410,26,SupInc,4,4,50,0.8,0.13,0.27,0.02,0
98611,27,SupCom,2,3,34,11.4,2.16,1.72,0.45,0
98648,19,Med,0,0,36,6.7,0.89,1.52,0.25,0
98678,51,Med,28,20,134,4.1,1.75,3.74,0.07,0
98849,46,Bas,13,12,94,15.7,8.31,6.45,0.32,1
98854,23,SupInc,1,1,30,13.6,2.04,2.04,0.59,1
98855,19,Med,0,0,20,5.6,0.16,0.96,0.34,1
98961,23,Med,3,1,27,17.8,0.93,3.88,0.84,1
98972,30,SupCom,1,6,16,8.5,1.08,0.28,0.62,1
98987,21,SupInc,0,0,35,6.8,0.91,1.47,0.26,1
99058,20,SupInc,0,0,35,5.8,0.76,1.27,0.22,0
99139,23,SupCom,0,2,36,1.1,0.1,0.29,0.04,0
99161,46,SupInc,2,14,27,12.1,0.55,2.72,0.57,0
99306,43,Med,20,8,180,7.3,4.2,8.94,0.11,0
99337,27,Med,5,3,28,5.2,0.5,0.96,0.24,0
99363,45,Bas,3,13,38,22.1,2.59,5.8,0.8,1
99378,22,SupInc,1,2,27,9.8,0.25,2.4,0.46,0
99388,41,Med,13,7,50,14.2,3.72,3.38,0.43,1
99395,52,Bas,8,6,43,17.5,3.44,4.09,0.58,0
99428,53,Med,34,18,251,15.9,12.37,27.54,0.22,0
99436,20,SupInc,0,0,45,7.7,1.14,2.32,0.25,1
99449,30,Posg,2,8,99,1.5,0.8,0.69,0.03,0
99476,68,Med,0,17,22,12.5,1.05,1.7,0.69,0
99524,31,SupCom,0,7,41,3.8,1.11,0.44,0.13,0
99592,54,Med,2,21,32,6.7,0.17,1.97,0.28,0
99593,26,SupInc,2,3,38,7.6,1.39,1.49,0.28,1
99634,32,Med,12,6,61,8.2,0.3,4.71,0.22,0
120070,27,Med,4,2,34,15.1,0.84,4.3,0.6,0
120073,60,SupInc,22,10,60,22.3,3.25,10.13,0.59,0
120117,47,Med,13,19,58,3.5,0.62,1.41,0.1,0
120155,47,Med,6,11,75,15.2,2.93,8.47,0.35,0
120174,69,SupCom,7,20,75,13.5,1.03,9.09,0.31,1
120175,45,Med,7,8,32,5.4,0.13,1.6,0.22,0
120194,29,SupInc,2,5,31,6.8,1.41,0.7,0.29,0
120199,29,SupInc,4,5,67,7.9,0.93,4.36,0.2,0
120278,27,Bas,5,2,33,5.1,0.58,1.1,0.21,0
120285,44,Bas,9,3,37,18.4,2.92,3.89,0.68,0
120304,21,SupInc,0,1,55,17.1,6.9,2.5,0.48,1
120306,26,SupInc,4,4,28,15,2.38,1.82,0.69,0
120397,56,SupInc,26,13,384,11.2,23.31,19.7,0.14,1
120428,38,SupCom,4,8,91,3.9,1.02,2.53,0.08,1
120482,42,SupCom,17,8,54,10.3,0.29,5.27,0.29,0
120611,43,SupInc,13,11,59,11,1.72,4.77,0.3,1
120614,37,Med,17,6,123,10.6,3.89,9.15,0.19,0
120633,64,SupInc,15,22,227,29.9,35.97,31.9,0.43,1
120651,39,Med,0,10,38,7.5,0.2,2.65,0.27,0
120658,21,Med,1,0,20,20.3,0.41,3.65,1.22,0
120708,30,SupCom,5,3,62,2.6,0.7,0.91,0.07,0
120724,52,Med,9,12,72,15.4,4.08,7.01,0.37,0
120769,40,SupCom,5,9,62,8,1.49,3.47,0.21,1
